epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.921,1.40165,2.15135,1.56071,0.89632,0.87694,0.94028,0.72013,0.93673,0.97705,1.3186,0.000552339,0.000552339,0.000552339
2,671.763,0.92921,1.05296,1.24481,0.93634,0.92925,0.983,0.90458,0.3858,0.62899,1.10377,0.000559543,0.000559543,0.000559543
